1	1:0.054515	2:-0.018012	3:-0.078530	4:0.401889	5:0.145458	6:0.217386	7:-0.402732	8:-0.707803	9:-0.239671	10:-0.065171	11:0.189047	
1	1:0.077901	2:-0.084775	3:-0.582917	4:-0.338083	5:-0.007125	6:0.245798	7:-0.291447	8:-0.326418	9:-0.075140	10:-0.338813	11:-0.400319	
1	1:0.086671	2:0.178759	3:-0.245967	4:-0.212124	5:-0.484003	6:-0.339666	7:-0.058670	8:-0.066414	9:-0.412002	10:-0.149175	11:0.552770	
1	1:0.060438	2:-0.122833	3:-0.139217	4:-0.102205	5:-0.829022	6:0.114051	7:-0.071350	8:-0.128784	9:0.155628	10:0.416194	11:-0.178978	
1	1:0.053151	2:0.261178	3:0.423381	4:-0.247512	5:-0.220530	6:0.497150	7:-0.293131	8:0.408082	9:0.314414	10:-0.152908	11:-0.134024	
1	1:0.077001	2:0.405632	3:-0.182434	4:-0.094839	5:0.230612	6:0.130885	7:-0.043948	8:0.444795	9:-0.071669	10:0.212279	11:-0.683353	
1	1:0.069270	2:-0.151486	3:0.047273	4:-0.096839	5:-0.256601	6:-0.547382	7:0.525257	8:0.075543	9:0.458898	10:0.168491	11:-0.273116	
1	1:0.044361	2:0.247701	3:-0.229122	4:0.127308	5:-0.222586	6:-0.063310	7:0.287504	8:0.043866	9:0.696122	10:0.355097	11:0.345192	
1	1:0.047743	2:0.111594	3:-0.298436	4:0.030883	5:0.060892	6:-0.608013	7:-0.194291	8:-0.563801	9:-0.286781	10:-0.158094	11:-0.242909	
1	1:0.062816	2:-0.004902	3:-0.186850	4:-0.587186	5:-0.359665	6:-0.061694	7:0.300177	8:0.526844	9:-0.027576	10:-0.005901	11:0.338671	
1	1:0.053310	2:0.098906	3:-0.178831	4:0.070199	5:0.484410	6:0.519697	7:-0.152223	8:-0.251702	9:-0.394689	10:-0.423461	11:-0.155258	
1	1:0.054445	2:0.348805	3:-0.416955	4:-0.339811	5:-0.093583	6:-0.005211	7:0.581174	8:0.041296	9:0.046662	10:-0.250746	11:0.415625	
1	1:0.073083	2:-0.205876	3:0.621996	4:0.075852	5:-0.439023	6:0.031420	7:-0.195858	8:0.258449	9:0.407696	10:0.217163	11:-0.217671	
1	1:0.119293	2:0.222320	3:-0.497716	4:-0.438652	5:0.336498	6:-0.004154	7:-0.390752	8:0.172419	9:-0.398112	10:-0.094850	11:0.181808	
1	1:0.043643	2:0.573109	3:-0.188030	4:-0.184390	5:0.341652	6:0.286663	7:0.030968	8:-0.060694	9:-0.082086	10:-0.570788	11:-0.253388	
1	1:0.118356	2:-0.129587	3:-0.142935	4:-0.197658	5:-0.049148	6:0.292641	7:-0.517052	8:-0.152562	9:-0.211932	10:-0.110762	11:0.688363	
1	1:0.082130	2:-0.640803	3:0.315823	4:-0.519390	5:0.168561	6:0.049895	7:0.034269	8:0.211196	9:-0.174987	10:-0.005744	11:0.325243	
1	1:0.059391	2:-0.190258	3:-0.265705	4:-0.451730	5:0.222191	6:-0.160520	7:-0.343585	8:0.314711	9:-0.556336	10:0.286170	11:-0.044534	
1	1:0.057208	2:0.056792	3:0.578899	4:0.351532	5:-0.120533	6:-0.205565	7:-0.462629	8:-0.281451	9:-0.080214	10:-0.297976	11:0.299255	
1	1:0.078895	2:-0.162457	3:-0.280457	4:-0.385390	5:0.126379	6:0.730617	7:0.268701	8:-0.204707	9:0.053727	10:-0.152843	11:-0.223775	
1	1:0.069124	2:-0.046287	3:0.119513	4:-0.043028	5:-0.116558	6:-0.225261	7:-0.577499	8:0.156677	9:0.168252	10:-0.654584	11:-0.312689	
1	1:0.086261	2:-0.403362	3:0.238330	4:0.474610	5:0.246349	6:0.360169	7:-0.372124	8:0.192161	9:0.275138	10:0.247806	11:-0.211855	
1	1:0.042023	2:0.020627	3:0.166558	4:-0.355106	5:0.309099	6:-0.348958	7:-0.306932	8:-0.087622	9:-0.443613	10:-0.067783	11:-0.568666	
