0.178908,0.184681
0.271186,0.166359
0.335217,0.309885
0.276836,0.364853
0.536723,0.528229
0.448211,0.566401
0.380414,0.39081
0.478343,0.506853
0.629002,0.648853
0.817326,0.714509
0.966102,0.818337
0.856874,0.877885
0.702448,0.835133
0.527307,0.72367
0.499058,0.680918
0.467043,0.587778
0.389831,0.448832
0.295669,0.306832
0.233522,0.218272
0.143126,0.0884876
0.0828625,0.0839069
0.0640301,0.0793263
0.047081,0.0594768
0.0338983,0.0396273
0.148776,0.0106166
0.156309,0.0289392
0.0903955,0.0243585
0.116761,0.0487886
0.163842,0.0747456
0.225989,0.0945951
0.284369,0.172466
0.365348,0.352638
0.480226,0.467154
0.544256,0.445778
0.591337,0.500746
0.559322,0.569455
0.54049,0.671756
0.636535,0.777111
0.708098,0.65038
0.728814,0.610681
0.617702,0.546552
0.578154,0.6061
0.580038,0.709928
0.687382,0.76795
0.79096,0.769477
0.685499,0.702294
0.670433,0.712982
0.713748,0.754208
0.772128,0.804595
0.87194,0.830552
0.903955,0.778638
0.911488,0.717563
0.3258,0.215219
0.423729,0.338896
0.47646,0.386229
