1 1:14.23 2:1.71 3:2.43 4:15.6 5:127 6:2.8 7:3.06 8:.28 9:2.29 10:5.64 11:1.04 12:3.92 13:1065 
1 1:13.2 2:1.78 3:2.14 4:11.2 5:100 6:2.65 7:2.76 8:.26 9:1.28 10:4.38 11:1.05 12:3.4 13:1050 
1 1:13.16 2:2.36 3:2.67 4:18.6 5:101 6:2.8 7:3.24 8:.3 9:2.81 10:5.68 11:1.03 12:3.17 13:1185 
1 1:14.37 2:1.95 3:2.5 4:16.8 5:113 6:3.85 7:3.49 8:.24 9:2.18 10:7.8 11:.86 12:3.45 13:1480 
1 1:13.24 2:2.59 3:2.87 4:21 5:118 6:2.8 7:2.69 8:.39 9:1.82 10:4.32 11:1.04 12:2.93 13:735 
1 1:14.2 2:1.76 3:2.45 4:15.2 5:112 6:3.27 7:3.39 8:.34 9:1.97 10:6.75 11:1.05 12:2.85 13:1450 
1 1:14.39 2:1.87 3:2.45 4:14.6 5:96 6:2.5 7:2.52 8:.3 9:1.98 10:5.25 11:1.02 12:3.58 13:1290 
1 1:14.06 2:2.15 3:2.61 4:17.6 5:121 6:2.6 7:2.51 8:.31 9:1.25 10:5.05 11:1.06 12:3.58 13:1295 
1 1:14.83 2:1.64 3:2.17 4:14 5:97 6:2.8 7:2.98 8:.29 9:1.98 10:5.2 11:1.08 12:2.85 13:1045 
1 1:13.86 2:1.35 3:2.27 4:16 5:98 6:2.98 7:3.15 8:.22 9:1.85 10:7.22 11:1.01 12:3.55 13:1045 
1 1:14.1 2:2.16 3:2.3 4:18 5:105 6:2.95 7:3.32 8:.22 9:2.38 10:5.75 11:1.25 12:3.17 13:1510 
1 1:14.12 2:1.48 3:2.32 4:16.8 5:95 6:2.2 7:2.43 8:.26 9:1.57 10:5 11:1.17 12:2.82 13:1280 
1 1:13.75 2:1.73 3:2.41 4:16 5:89 6:2.6 7:2.76 8:.29 9:1.81 10:5.6 11:1.15 12:2.9 13:1320 
1 1:14.75 2:1.73 3:2.39 4:11.4 5:91 6:3.1 7:3.69 8:.43 9:2.81 10:5.4 11:1.25 12:2.73 13:1150 
1 1:14.38 2:1.87 3:2.38 4:12 5:102 6:3.3 7:3.64 8:.29 9:2.96 10:7.5 11:1.2 12:3 13:1547 
1 1:13.63 2:1.81 3:2.7 4:17.2 5:112 6:2.85 7:2.91 8:.3 9:1.46 10:7.3 11:1.28 12:2.88 13:1310 
1 1:14.3 2:1.92 3:2.72 4:20 5:120 6:2.8 7:3.14 8:.33 9:1.97 10:6.2 11:1.07 12:2.65 13:1280 
1 1:13.83 2:1.57 3:2.62 4:20 5:115 6:2.95 7:3.4 8:.4 9:1.72 10:6.6 11:1.13 12:2.57 13:1130 
1 1:14.19 2:1.59 3:2.48 4:16.5 5:108 6:3.3 7:3.93 8:.32 9:1.86 10:8.7 11:1.23 12:2.82 13:1680 
1 1:13.64 2:3.1 3:2.56 4:15.2 5:116 6:2.7 7:3.03 8:.17 9:1.66 10:5.1 11:.96 12:3.36 13:845 
1 1:14.06 2:1.63 3:2.28 4:16 5:126 6:3 7:3.17 8:.24 9:2.1 10:5.65 11:1.09 12:3.71 13:780 
1 1:12.93 2:3.8 3:2.65 4:18.6 5:102 6:2.41 7:2.41 8:.25 9:1.98 10:4.5 11:1.03 12:3.52 13:770 
1 1:13.71 2:1.86 3:2.36 4:16.6 5:101 6:2.61 7:2.88 8:.27 9:1.69 10:3.8 11:1.11 12:4 13:1035 
1 1:12.85 2:1.6 3:2.52 4:17.8 5:95 6:2.48 7:2.37 8:.26 9:1.46 10:3.93 11:1.09 12:3.63 13:1015 
1 1:13.5 2:1.81 3:2.61 4:20 5:96 6:2.53 7:2.61 8:.28 9:1.66 10:3.52 11:1.12 12:3.82 13:845 
1 1:13.05 2:2.05 3:3.22 4:25 5:124 6:2.63 7:2.68 8:.47 9:1.92 10:3.58 11:1.13 12:3.2 13:830 
1 1:13.39 2:1.77 3:2.62 4:16.1 5:93 6:2.85 7:2.94 8:.34 9:1.45 10:4.8 11:.92 12:3.22 13:1195 
1 1:13.3 2:1.72 3:2.14 4:17 5:94 6:2.4 7:2.19 8:.27 9:1.35 10:3.95 11:1.02 12:2.77 13:1285 
1 1:13.87 2:1.9 3:2.8 4:19.4 5:107 6:2.95 7:2.97 8:.37 9:1.76 10:4.5 11:1.25 12:3.4 13:915 
