1 1:0.043699 2:-0.229021 3:-0.568494 4:0.119468 5:-0.096488 6:0.152191 7:-0.405677 8:0.146335 9:-0.475369 10:0.182130 11:-0.361352 
1 1:0.062266 2:-0.128363 3:-0.549074 4:0.578223 5:-0.042721 6:0.371071 7:0.059961 8:-0.362144 9:-0.079375 10:0.216257 11:-0.128419 
1 1:0.066214 2:0.586660 3:-0.003622 4:-0.224496 5:-0.199792 6:0.010581 7:-0.140061 8:-0.199692 9:-0.071486 10:0.086123 11:0.699273 
1 1:0.081849 2:0.300235 3:-0.093424 4:0.424089 5:-0.504411 6:0.370994 7:0.299280 8:-0.377535 9:0.225624 10:0.166202 11:0.109005 
1 1:0.055014 2:0.252423 3:-0.130231 4:-0.209339 5:-0.068170 6:0.038383 7:-0.303510 8:-0.151171 9:0.344115 10:-0.081686 11:0.791387 
1 1:0.050668 2:0.153623 3:-0.075123 4:-0.162142 5:0.071599 6:0.151670 7:0.431772 8:-0.019225 9:-0.235211 10:-0.504362 11:-0.645962 
-1 1:-0.062134 2:0.260065 3:-0.214851 4:-0.368577 5:0.361187 6:0.388612 7:0.647522 8:-0.075626 9:-0.020751 10:0.136327 11:0.144916 
-1 1:-0.085313 2:-0.200329 3:-0.133405 4:-0.271242 5:0.258247 6:-0.420974 7:0.258800 8:0.584160 9:-0.103755 10:0.216604 11:0.389112 
-1 1:-0.041941 2:0.228878 3:-0.141547 4:-0.236162 5:0.047958 6:0.041877 7:-0.350132 8:-0.425222 9:0.554044 10:0.478260 11:-0.163983 
-1 1:-0.072637 2:0.045673 3:0.039881 4:-0.252457 5:0.092145 6:0.506286 7:0.671465 8:0.302732 9:-0.165107 10:0.167208 11:0.254492 
-1 1:-0.065143 2:-0.294066 3:-0.170201 4:0.091920 5:-0.282999 6:0.253025 7:-0.134503 8:0.411524 9:-0.339963 10:0.225243 11:-0.611557 
-1 1:-0.065987 2:0.046262 3:-0.062796 4:0.200050 5:0.338909 6:-0.561472 7:-0.327404 8:-0.189532 9:-0.418304 10:0.299244 11:0.334353 
