-1 1:28.7812 2:34.4632 3:31.3381 4:31.2834 5:28.9207 6:33.7596 7:25.3969 8:27.7849 9:35.2479 10:27.1159 11:32.8717 12:29.2171 13:36.0253 14:32.337 15:34.5249 16:32.8717 17:34.1173 18:26.5235 19:27.6623 20:26.3693 21:25.7744 22:29.27 23:30.7326 24:29.5054 25:33.0292 26:25.04 27:28.9167 28:24.3437 29:26.1203 30:34.9424 31:25.0293 32:26.6311 33:35.6541 34:28.4353 35:29.1495 36:28.1584 37:26.1927 38:33.3182 39:30.9772 40:27.0443 41:35.5344 42:26.2353 43:28.9964 44:32.0036 45:31.0558 46:34.2553 47:28.0721 48:28.9402 49:35.4973 50:29.747 51:31.4333 52:24.5556 53:33.7431 54:25.0466 55:34.9318 56:34.9879 57:32.4721 58:33.3759 59:25.4652 60:25.8717 
-1 1:24.8923 2:25.741 3:27.5532 4:32.8217 5:27.8789 6:31.5926 7:31.4861 8:35.5469 9:27.9516 10:31.6595 11:27.5415 12:31.1887 13:27.4867 14:31.391 15:27.811 16:24.488 17:27.5918 18:35.6273 19:35.4102 20:31.4167 21:30.7447 22:24.1311 23:35.1422 24:30.4719 25:31.9874 26:33.6615 27:25.5511 28:30.4686 29:33.6472 30:25.0701 31:34.0765 32:32.5981 33:28.3038 34:26.1471 35:26.9414 36:31.5203 37:33.1089 38:24.1491 39:28.5157 40:25.7906 41:35.9519 42:26.5301 43:24.8578 44:25.9562 45:32.8357 46:28.5322 47:26.3458 48:30.6213 49:28.9861 50:29.4047 51:32.5577 52:31.0205 53:26.6418 54:28.4331 55:33.6564 56:26.4244 57:28.4661 58:34.2484 59:32.1005 60:26.691 
-1 1:31.3987 2:30.6316 3:26.3983 4:24.2905 5:27.8613 6:28.5491 7:24.9717 8:32.4358 9:25.2239 10:27.3068 11:31.8387 12:27.2587 13:28.2572 14:26.5819 15:24.0455 16:35.0625 17:31.5717 18:32.5614 19:31.0308 20:34.1202 21:26.9337 22:31.4781 23:35.0173 24:32.3851 25:24.3323 26:30.2001 27:31.2452 28:26.6814 29:31.5137 30:28.8778 31:27.3086 32:24.246 33:26.9631 34:25.2919 35:31.6114 36:24.7131 37:27.4809 38:24.2075 39:26.8059 40:35.1253 41:32.6293 42:31.0561 43:26.3583 44:28.0861 45:31.4391 46:27.3057 47:29.6082 48:35.9725 49:34.1444 50:27.1717 51:33.6318 52:26.5966 53:25.5387 54:32.5434 55:25.5772 56:29.9897 57:31.351 58:33.9002 59:29.5446 60:29.343 
-1 1:25.774 2:30.5262 3:35.4209 4:25.6033 5:27.97 6:25.2702 7:28.132 8:29.4268 9:31.4549 10:27.32 11:28.9564 12:28.9916 13:29.9578 14:30.2773 15:30.4447 16:24.3037 17:24.314 18:35.0966 19:25.3679 20:32.0968 21:33.3303 22:25.0102 23:35.3155 24:31.6264 25:29.2806 26:34.2021 27:26.5077 28:32.2279 29:25.5265 30:24.824 31:27.5587 32:28.3714 33:32.3667 34:26.9752 35:35.9346 36:35.1146 37:24.3749 38:27.6083 39:27.8433 40:29.8557 41:32.4185 42:26.8908 43:31.3209 44:29.3849 45:34.3336 46:24.7381 47:35.769 48:31.8725 49:34.2054 50:31.156 51:34.6292 52:28.7261 53:28.2979 54:31.5787 55:34.6156 56:32.5492 57:30.9827 58:24.8938 59:27.3659 60:25.3069 
-1 1:27.1798 2:29.2498 3:33.6928 4:25.6264 5:24.6555 6:28.9446 7:35.798 8:34.9446 9:24.5596 10:34.2366 11:27.9634 12:25.3216 13:35.4154 14:34.862 15:25.1472 16:29.4686 17:33.1739 18:31.1274 19:31.3701 20:26.5173 21:28.6486 22:31.6565 23:35.9497 24:33.0321 25:24.6081 26:33.2025 27:27.4335 28:32.6355 29:35.8773 30:28.0295 31:33.1247 32:33.4129 33:26.9245 34:30.2123 35:29.6526 36:30.8644 37:24.5119 38:33.9931 39:33.3094 40:33.204 41:31.2651 42:27.9072 43:35.111 44:35.0757 45:33.833 46:25.9481 47:29.1348 48:24.2875 49:32.3223 50:34.9244 51:27.7218 52:27.9601 53:35.7198 54:27.576 55:35.3375 56:29.9993 57:34.2149 58:33.1276 59:31.1057 60:31.0179 
-1 1:25.5067 2:29.7929 3:28.0765 4:34.4812 5:33.8 6:27.6671 7:30.6122 8:25.6393 9:30.1171 10:26.5188 11:30.1524 12:27.8514 13:29.5582 14:32.3601 15:29.2064 16:26.1001 17:33.4677 18:33.901 19:29.2674 20:34.8311 21:31.9815 22:26.496 23:32.6645 24:27.7188 25:35.7385 26:32.8309 27:30.1509 28:30.5593 29:27.3321 30:27.4559 31:24.2361 32:34.7268 33:29.9207 34:27.273 35:35.9963 36:32.3917 37:27.139 38:26.4589 39:25.0466 40:35.5002 41:27.9961 42:25.8897 43:31.3951 44:30.7583 45:34.9652 46:28.0919 47:35.6706 48:33.4401 49:28.458 50:31.1795 51:26.9458 52:35.8381 53:26.7134 54:25.1641 55:27.341 56:25.2093 57:33.4669 58:24.1094 59:33.1669 60:35.4907 
-1 1:28.6989 2:29.2101 3:30.9291 4:34.6229 5:31.4138 6:28.4636 7:35.9115 8:32.9058 9:28.7669 10:24.2868 11:34.8983 12:33.7291 13:29.1154 14:26.2804 15:33.4559 16:31.6103 17:33.3061 18:24.553 19:29.1587 20:27.8378 21:25.3525 22:25.2126 23:26.9565 24:27.9928 25:29.5057 26:31.0723 27:26.3605 28:27.7434 29:34.0438 30:25.1053 31:24.4462 32:35.4191 33:33.3472 34:32.2356 35:24.5244 36:29.4635 37:24.6889 38:28.1962 39:34.2994 40:31.6316 41:30.8005 42:35.7727 43:31.3444 44:25.5691 45:32.7839 46:32.7707 47:24.1047 48:34.006 49:28.8249 50:24.0499 51:29.8274 52:24.0323 53:31.0756 54:34.3358 55:25.4358 56:25.893 57:35.6732 58:25.1869 59:29.6669 60:26.4637 
-1 1:30.9493 2:34.317 3:35.5674 4:34.8829 5:30.6691 6:35.2667 7:35.895 8:25.9022 9:28.8917 10:32.2092 11:28.9898 12:26.0572 13:31.7516 14:32.294 15:31.0631 16:24.1612 17:26.6554 18:25.2452 19:30.5956 20:31.391 21:32.1604 22:33.7765 23:31.1336 24:32.626 25:28.8616 26:27.6223 27:33.9381 28:33.9836 29:34.8895 30:29.4617 31:34.5734 32:32.4431 33:30.0745 34:25.0495 35:29.2942 36:28.2689 37:28.4819 38:29.8917 39:33.1162 40:26.4574 41:27.4442 42:33.0784 43:33.2286 44:27.5837 45:24.4895 46:26.2151 47:24.0331 48:26.4765 49:34.8568 50:30.5934 51:35.4341 52:31.1248 53:24.2424 54:29.7172 55:35.9365 56:36.0187 57:26.3866 58:33.1842 59:31.3025 60:34.523 
-1 1:35.2538 2:34.6402 3:35.7584 4:28.551 5:25.6518 6:29.6442 7:31.94 8:35.9086 9:28.9622 10:24.6224 11:29.7635 12:29.5098 13:28.2109 14:34.2855 15:27.5473 16:25.4274 17:32.3429 18:34.79 19:33.7012 20:25.3495 21:33.7603 22:26.4442 23:24.5097 24:30.4135 25:28.4948 26:28.8433 27:32.4284 28:24.5071 29:31.7032 30:29.8722 31:35.852 32:35.7172 33:27.1922 34:24.3206 35:25.2698 36:29.6203 37:24.3243 38:31.1824 39:25.0701 40:31.8824 41:28.6468 42:32.857 43:24.7469 44:29.3045 45:27.3994 46:26.1497 47:31.9613 48:34.7492 49:24.8681 50:32.0285 51:32.7486 52:33.5455 53:24.1792 54:25.398 55:35.2296 56:28.3435 57:26.5999 58:28.9487 59:30.2372 60:32.3833 
-1 1:29.1734 2:31.5089 3:33.1944 4:35.6177 5:31.589 6:35.1223 7:28.6222 8:34.3145 9:33.1096 10:35.6842 11:29.7341 12:28.2495 13:30.4642 14:24.7513 15:26.3774 16:27.9832 17:33.6256 18:33.9634 19:33.7699 20:24.4594 21:26.146 22:32.9271 23:27.3248 24:35.6258 25:31.3697 26:26.8933 27:24.1528 28:25.8813 29:30.6996 30:32.7152 31:24.3243 32:29.6383 33:27.6021 34:26.7215 35:24.3555 36:34.1569 37:27.5892 38:24.3209 39:32.5984 40:25.127 41:35.3361 42:36.0073 43:34.266 44:26.9172 45:31.7032 46:35.5142 47:28.3009 48:35.5839 49:31.8163 50:33.7563 51:35.6908 52:25.5129 53:30.5505 54:33.3061 55:32.9789 56:24.0496 57:32.8313 58:29.2413 59:35.4543 60:25.8732 
