1 1:0.793972689762809 2:0.544883218464673 3:0.217953287385869 4:0.031136183912267 5:0.155680919561335 
1 1:0.816553264365673 2:0.4999305700198 3:0.233300932675907 4:0.0333287046679867 5:0.166643523339933 
1 1:0.793764920850098 2:0.540435690791556 3:0.21955199938407 4:0.0337772306744722 5:0.168886153372361 
1 1:0.788198329095812 2:0.531177134825439 3:0.257021194270374 4:0.0342694925693832 5:0.171347462846916 
1 1:0.78125 2:0.5625 3:0.21875 4:0.03125 5:0.15625 
1 1:0.776035104406608 2:0.560469797626995 3:0.244307347683562 4:0.0574840818078969 5:0.143710204519742 
1 1:0.769127538717429 2:0.568485572095491 3:0.234082294392261 4:0.0501604916554845 5:0.167201638851615 
1 1:0.792055914784774 2:0.538598022053647 3:0.237616774435432 4:0.031682236591391 5:0.158411182956955 
1 1:0.793211365521978 2:0.522798400003121 3:0.252385434484266 4:0.0360550620691808 5:0.180275310345904 
1 1:0.806864529375011 2:0.510465314502558 3:0.246999345727044 4:0.0164666230484696 5:0.164666230484696 
1 1:0.794977733574384 2:0.544706965597263 3:0.220827148215107 4:0.0294436197620142 5:0.147218098810071 
1 1:0.776621762028688 2:0.550107081436987 3:0.258873920676229 4:0.0323592400845287 5:0.161796200422643 
1 1:0.81123220250143 2:0.507020126563394 3:0.23660939239625 4:0.0169006708854465 5:0.169006708854465 
1 1:0.788891232879435 2:0.550389232241467 3:0.201809385155204 4:0.0183463077413822 5:0.183463077413822 
1 1:0.80338883159727 2:0.554061263170531 3:0.166218378951159 4:0.0277030631585265 5:0.138515315792633 
1 1:0.766777596657699 2:0.591898495665592 3:0.201783578067815 4:0.0538089541514174 5:0.134522385378544 
1 1:0.785833915545033 2:0.567546716782524 3:0.189182238927508 4:0.0582099196700025 5:0.145524799175006 
1 1:0.793492047615872 2:0.544553366010893 3:0.217821346404357 4:0.0466760028009337 5:0.155586676003112 
1 1:0.798864839888536 2:0.53257655992569 3:0.238257934703598 4:0.0420455178888703 5:0.140151726296234 
1 1:0.770695287586071 2:0.574243547613151 3:0.226675084584138 4:0.0453350169168277 5:0.151116723056092 
1 1:0.808133347461194 2:0.508824700253345 3:0.254412350126672 4:0.029930864720785 5:0.149654323603925 
1 1:0.776749826054422 2:0.56352438360811 3:0.228455831192477 4:0.0609215549846605 5:0.152303887461651 
1 1:0.7649686210234 2:0.598671094713965 3:0.166297526309435 4:0.033259505261887 5:0.166297526309435 
1 1:0.79609793984444 2:0.515122196369932 3:0.265365979948147 4:0.0780488176318078 5:0.156097635263616 
1 1:0.766163409088917 2:0.542699081437983 3:0.303273016097696 4:0.0319234753787049 5:0.159617376893524 
1 1:0.815410091316803 2:0.489246054790082 3:0.260931229221377 4:0.0326164036526721 5:0.163082018263361 
1 1:0.787816864579068 2:0.535715467913766 3:0.252101396665302 4:0.0630253491663254 5:0.157563372915814 
1 1:0.796893923208946 2:0.536370909852175 3:0.229873247079504 4:0.0306497662772672 5:0.153248831386336 
1 1:0.806225774829855 2:0.527147622004136 3:0.217060785531115 4:0.0310086836473021 5:0.155043418236511 
1 1:0.784096019838963 2:0.53385260925206 3:0.26692630462603 4:0.0333657880782537 5:0.166828940391269 
1 1:0.797236606595904 2:0.514881975093188 3:0.265745535531968 4:0.033218191941496 5:0.16609095970748 
1 1:0.81288066959718 2:0.511813754931557 3:0.225800185999217 4:0.0602133829331244 5:0.150533457332811 
1 1:0.757611906794019 2:0.597347849587592 3:0.218541896190582 4:0.0145694597460388 5:0.145694597460388 
1 1:0.770985950470151 2:0.588752907631752 3:0.196250969210584 4:0.0280358527443691 5:0.140179263721846 
1 1:0.806864529375011 2:0.510465314502558 3:0.246999345727044 4:0.0164666230484696 5:0.164666230484696 
1 1:0.814112011282295 2:0.521031687220669 3:0.195386882707751 4:0.0325644804512918 5:0.162822402256459 
1 1:0.817804311080982 2:0.520420925233352 3:0.193299200800959 4:0.029738338584763 5:0.148691692923815 
1 1:0.806864529375011 2:0.510465314502558 3:0.246999345727044 4:0.0164666230484696 5:0.164666230484696 
1 1:0.789118664285402 2:0.538035452921865 3:0.233148696266141 4:0.035869030194791 5:0.179345150973955 
1 1:0.797849532588685 2:0.531899688392456 3:0.234661627231966 4:0.0312882169642621 5:0.156441084821311 
1 1:0.790273118168033 2:0.553191182717623 3:0.205471010723689 4:0.047416387090082 5:0.158054623633607 
1 1:0.845601781503182 2:0.432196466101627 3:0.244284959100919 4:0.0563734521002122 5:0.187911507000707 
1 1:0.77383759348778 2:0.562790977082022 3:0.228633834439571 4:0.0351744360676264 5:0.175872180338132 
1 1:0.779254952054326 2:0.545478466438028 3:0.249361584657384 4:0.0935105942465191 5:0.155850990410865 
1 1:0.758411477975388 2:0.565090905158132 3:0.282545452579066 4:0.0594832531745402 5:0.148708132936351 
1 1:0.810306930227135 2:0.50644183139196 3:0.236339521316248 4:0.050644183139196 5:0.16881394379732 
1 1:0.768417451812305 2:0.572546336644463 3:0.241072141745037 4:0.0301340177181296 5:0.150670088590648 
1 1:0.784293490391044 2:0.545595471576379 3:0.238698018814666 4:0.0340997169735237 5:0.170498584867618 
1 1:0.789463563436737 2:0.551134940512439 3:0.223433083991529 4:0.0297910778655373 5:0.148955389327686 
1 1:0.801772271929487 2:0.529169699473461 3:0.224496236140256 4:0.0320708908771795 5:0.160354454385897 
-1 1:0.762447619994488 2:0.348547483426052 3:0.511929116282013 4:0.152489523998898 5:0.108921088570641 
-1 1:0.740490810133998 2:0.370245405066999 3:0.520657600875467 4:0.173552533625156 5:0.115701689083437 
-1 1:0.750709891308947 2:0.337275458414165 3:0.533112821364325 4:0.163197802458467 5:0.108798534972311 
-1 1:0.74686634053812 2:0.312325924225032 3:0.54317552039136 4:0.176532044127192 5:0.13579388009784 
-1 1:0.75306978027254 2:0.324399289963556 3:0.532941690654413 4:0.173785333909048 5:0.115856889272698 
-1 1:0.716598572084479 2:0.352013333655533 3:0.565735714803536 4:0.163434762054355 5:0.125719047734119 
-1 1:0.721568539381252 2:0.377964473009227 3:0.538313037316172 4:0.18325550206508 5:0.114534688790675 
-1 1:0.750214846551888 2:0.3674521697397 3:0.505246733392088 4:0.153105070724875 5:0.153105070724875 
-1 1:0.757970049986369 2:0.333047446206132 3:0.528282156051106 4:0.149297131057921 5:0.114843946967632 
-1 1:0.717668181716048 2:0.372635402044871 3:0.538251136287036 4:0.193218356615859 5:0.138013111868471 
-1 1:0.760285921269706 2:0.304114368507882 3:0.532200144888794 4:0.152057184253941 5:0.152057184253941 
-1 1:0.733499583047432 2:0.372965889685135 3:0.522152245559189 4:0.186482944842568 5:0.124321963228378 
-1 1:0.782194789018291 2:0.286804755973373 3:0.521463192678861 4:0.130365798169715 5:0.130365798169715 
-1 1:0.725625087334681 2:0.344969303814848 3:0.559088182044754 4:0.166536905289927 5:0.118954932349948 
-1 1:0.752237130237709 2:0.389551371015957 3:0.48358101229567 4:0.174626476662325 5:0.134328058971019 
-1 1:0.764429874523691 2:0.353691434481111 3:0.502013648940931 4:0.159731615572115 5:0.114094011122939 
-1 1:0.700766883397679 2:0.375410830391614 3:0.563116245587421 4:0.187705415195807 5:0.125136943463871 
-1 1:0.750404421706392 2:0.349326196311596 3:0.530458298102794 4:0.129380072707999 5:0.129380072707999 
-1 1:0.758697201488164 2:0.269215136011929 3:0.550667323660764 4:0.183555774553588 5:0.122370516369059 
-1 1:0.754897992755144 2:0.337008032479975 3:0.525732530668761 4:0.148283534291189 5:0.13480321299199 
-1 1:0.693733679308762 2:0.376262334540346 3:0.564393501810518 4:0.211647563178944 5:0.117581979543858 
-1 1:0.764053563243763 2:0.350713110997137 3:0.50101872999591 4:0.162831087248671 5:0.125254682498978 
-1 1:0.73635121698419 2:0.292202863882615 3:0.572717613209926 4:0.175321718329569 5:0.116881145553046 
-1 1:0.731286612229972 2:0.335672543318676 3:0.563450340570634 4:0.14385966142229 5:0.119883051185241 
-1 1:0.761958757494065 2:0.345262561989498 3:0.511941040191325 4:0.154772872615982 5:0.119056055858448 
-1 1:0.76271276980969 2:0.346687622640768 3:0.508475179873127 4:0.161787557232358 5:0.115562540880256 
-1 1:0.759883265655046 2:0.312893109387372 3:0.536388187521209 4:0.156446554693686 5:0.111747539066919 
-1 1:0.736397137515551 2:0.329730061574127 3:0.549550102623545 4:0.186847034892005 5:0.109910020524709 
-1 1:0.728088858150556 2:0.351909614772769 3:0.546066643612917 4:0.182022214537639 5:0.121348143025093 
-1 1:0.779287956808116 2:0.355464682052825 3:0.478510148917264 4:0.136717185404933 5:0.136717185404933 
-1 1:0.757918071104421 2:0.330727885572838 3:0.523652485490327 4:0.151583614220884 5:0.137803285655349 
-1 1:0.764922468606279 2:0.333784349937285 3:0.514584206153315 4:0.139076812473869 5:0.139076812473869 
-1 1:0.757797747253563 2:0.352767916824934 3:0.509553657636016 4:0.156785740811082 5:0.130654784009235 
-1 1:0.702921240720504 2:0.316314558324227 3:0.597483054612428 4:0.187445664192134 5:0.117153540120084 
-1 1:0.687688876540792 2:0.382049375855996 3:0.573074063783994 4:0.191024687927998 5:0.127349791951999 
-1 1:0.710220824228435 2:0.40245846706278 3:0.532665618171326 4:0.189392219794249 5:0.118370137371406 
-1 1:0.749832980735041 2:0.34693764780278 3:0.526002240217118 4:0.167873055388442 5:0.111915370258961 
-1 1:0.769495243670375 2:0.280926834990772 3:0.537425249547563 4:0.158784732820871 5:0.122142102169901 
-1 1:0.723801819911489 2:0.387750974952583 3:0.529926332435197 4:0.168025422479453 5:0.129250324984194 
